Player,Country,Games,Win_rate,KDA,Avg_kills,Avg_deaths,Avg_assists,CSM,GPM,KP%,DMG%,Gold%,VS%,DPM,VSPM,Avg_WPM,Avg_WCPM,Avg_VWPM,GD@15,CSD@15,XPD@15,FB_%,FB_Victim,Penta_Kills,Solo_Kills,SeasonYear,Split,SourceURL
Cuzz,KR,47,53.20%,5.2,3.2,2.2,8.3,6.7,369,77.10%,18.30%,20.20%,20.30%,459,1.83,0.31,0.5,0.27,139,2,18,42.60%,2.10%,0,5,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
DDoiV,KR,3,33.30%,1.8,3.7,4.3,4,6.5,352,68.60%,17.90%,19.50%,15.50%,376,1.37,0.33,0.32,0.31,309,-2,8,0%,33.30%,0,-,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Daystar,KR,8,37.50%,3.7,3,2.8,7.1,8.2,389,68.10%,22.50%,21.40%,14.70%,576,1.17,0.38,0.28,0.26,-127,-9,-157,12.50%,0%,0,-,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Delight,KR,42,73.80%,4.4,0.7,2.8,11.8,1.3,261,73%,7.10%,13.60%,42%,198,3.69,1.88,0.49,0.49,81,4,134,26.20%,14.30%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Diable,KR,46,37%,3.4,4.3,2.7,5.1,9.4,438,68.80%,27%,24.20%,14.30%,721,1.17,0.41,0.32,0.12,204,5,198,28.30%,2.20%,1,4,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Doran,KR,42,59.50%,2.7,3.4,3.5,5.9,8.1,406,61.50%,22.90%,21.40%,12.60%,644,1.1,0.4,0.21,0.22,74,-1,53,16.70%,11.90%,0,13,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
DuDu,KR,43,18.60%,1.8,2.3,3.1,3.3,8.2,372,56.20%,23.90%,21.50%,10.70%,551,0.88,0.31,0.17,0.13,-145,-3,-97,14%,20.90%,0,14,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Duro,KR,41,87.80%,6.4,0.7,2.1,13,0.8,262,77.50%,6.40%,13%,39.20%,186,3.5,1.79,0.36,0.48,9,-5,-59,26.80%,7.30%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Ellim,KR,5,20%,2.5,3,3.2,5,6.6,369,67.30%,16.50%,20.20%,17.30%,394,1.54,0.44,0.29,0.41,-127,4,-12,60%,0%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Faker,KR,42,59.50%,4.4,3.3,2.3,6.7,8.7,407,62.70%,25.30%,21.50%,12.70%,708,1.1,0.42,0.25,0.15,-42,1,96,14.30%,11.90%,1,6,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Fisher,KR,9,66.70%,3.5,2.4,2.6,6.4,8.9,400,59.80%,25.20%,21.70%,12.90%,618,1.1,0.4,0.25,0.25,-366,-8,-281,11.10%,0%,0,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
GIDEON,KR,45,53.30%,3.4,3,3.1,7.5,6.1,361,74.30%,15.90%,19.40%,19.80%,415,1.66,0.43,0.37,0.36,-51,-3,-74,35.60%,13.30%,1,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Gumayusi,KR,33,60.60%,4.6,4.4,2.4,6.8,9.6,450,67.70%,25.70%,23.50%,14.10%,724,1.24,0.45,0.33,0.14,169,2,-52,15.20%,24.20%,0,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
HamBak,KR,18,38.90%,2.6,1.6,3.1,6.4,6.4,333,74.30%,15.60%,18.80%,17.50%,379,1.44,0.3,0.36,0.26,-276,-8,-263,38.90%,11.10%,0,-,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Hype,KR,38,34.20%,3.7,3.8,2.2,4.4,9.7,428,67.80%,25.60%,23.80%,15.30%,631,1.28,0.39,0.37,0.11,-160,-4,15,36.80%,7.90%,1,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Jiwoo,KR,41,56.10%,3.5,4.1,2.8,5.6,8.9,425,67.10%,25.70%,22.70%,13.20%,688,1.11,0.44,0.28,0.14,-272,-7,8,34.10%,14.60%,0,5,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Kellin,KR,46,37%,2.6,0.7,3.8,9.2,0.9,242,73.40%,8.30%,13.40%,44%,216,3.59,1.93,0.42,0.57,-70,-3,-192,34.80%,15.20%,0,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Keria,KR,42,59.50%,4.1,0.7,2.9,11.1,1.1,252,73.20%,7.90%,13.20%,43.70%,222,3.79,2.05,0.42,0.57,120,1,114,28.60%,7.10%,0,-,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Kiin,KR,41,87.80%,5.2,3.5,2,6.8,8.4,416,58.80%,23.10%,20.80%,12.80%,673,1.15,0.42,0.22,0.16,170,6,61,14.60%,19.50%,0,6,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Kyeahoo,KR,5,40%,3.2,2.8,2.4,4.8,9.1,425,59.20%,26.30%,22.90%,12.20%,584,1.02,0.34,0.21,0.24,-512,-3,-284,0%,20%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
LazyFeel,VN,24,41.70%,3.2,3.8,2.8,5.4,8.9,423,66.60%,24.20%,23.30%,13.50%,607,1.13,0.42,0.28,0.12,-422,-9,-450,16.70%,4.20%,0,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Lehends,KR,45,53.30%,2.1,1,4.6,8.7,1.1,252,68.80%,9%,13.60%,41.50%,232,3.48,1.98,0.39,0.59,55,2,161,40%,6.70%,0,3,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Life,KR,43,18.60%,1.6,0.6,4.4,6.5,1,233,72.30%,7.90%,13.40%,43.10%,179,3.53,1.86,0.44,0.46,-69,0,15,18.60%,9.30%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Lucid,KR,49,51%,3.8,3.2,2.9,7.6,6.2,354,74.50%,16.10%,19.20%,19.20%,405,1.69,0.43,0.37,0.4,95,0,-22,26.50%,4.10%,1,4,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Morgan,KR,47,36.20%,2.4,2.3,2.9,4.6,8.1,377,55.20%,23.60%,20.90%,12.60%,570,1.05,0.36,0.21,0.21,-239,-6,-137,14.90%,6.40%,0,4,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Oner,KR,42,59.50%,4.5,3.8,2.6,8,6.9,385,76.10%,18.20%,20.20%,17%,516,1.48,0.31,0.34,0.25,141,2,207,40.50%,2.40%,0,8,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Paduck,KR,8,37.50%,2.1,2.6,3.3,4.1,8.6,383,63%,20.80%,21.60%,12.90%,526,1.17,0.47,0.27,0.14,-788,-12,-200,25%,37.50%,0,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Peanut,KR,42,73.80%,4.3,3,2.7,8.5,6.5,368,68.30%,15.70%,19.20%,17%,438,1.5,0.31,0.36,0.27,18,-1,10,28.60%,2.40%,0,5,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
PerfecT,KR,28,64.30%,3.4,2.6,2.4,5.6,7.8,382,53.60%,21.60%,20.50%,12.40%,529,1.11,0.48,0.19,0.25,-104,-6,-89,25%,17.90%,0,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Peter,KR,47,53.20%,3.2,0.7,3.4,10.3,1.1,250,76.20%,7.80%,13.70%,41.80%,198,3.74,1.84,0.52,0.53,54,0,-150,48.90%,19.10%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Pleata,KR,10,20%,1.9,0.4,4,7,1,224,77.80%,7.10%,13.20%,44.70%,164,3.68,2.09,0.41,0.57,28,-3,133,50%,0%,0,-,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Pollu,KR,47,36.20%,2.5,0.3,3.5,8.5,0.9,230,71.60%,7.60%,12.80%,42%,182,3.5,1.96,0.34,0.55,-118,-3,-168,48.90%,8.50%,0,-,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Pungyeon,KR,10,20%,1.2,1.8,4.2,3.2,8.8,372,63.40%,26.60%,21.80%,13%,568,1.09,0.4,0.25,0.21,-486,-6,-598,10%,30%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Pyosik,KR,40,17.50%,2.2,2,3.3,5.4,6.3,338,74%,14.80%,19.50%,19.70%,342,1.6,0.38,0.39,0.35,-205,-4,-167,20%,10%,0,3,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Raptor,KR,46,37%,2.8,3,3.3,6.5,6.3,356,70.20%,17.80%,19.70%,17.40%,471,1.43,0.3,0.32,0.26,-148,-2,-98,34.80%,6.50%,0,6,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Rich,KR,42,33.30%,2.1,2.7,3.3,4.3,8,380,53.90%,26.40%,21.50%,14.20%,637,1.18,0.44,0.25,0.14,-203,-4,-201,7.10%,14.30%,0,13,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Ruler,KR,41,87.80%,8.3,6.1,1.5,6.2,9.9,482,69.10%,26.40%,24.10%,15.70%,771,1.41,0.43,0.42,0.17,313,5,130,26.80%,4.90%,0,2,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
ShowMaker,KR,49,51%,4.5,3.5,2.3,6.8,8.6,406,69.90%,25%,22%,14%,632,1.23,0.46,0.28,0.25,-46,-3,-72,20.40%,12.20%,0,9,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Siwoo,KR,49,51%,3.2,3,2.4,4.7,8.2,392,54.70%,24.10%,21.20%,12.50%,607,1.1,0.48,0.17,0.17,58,3,-13,22.40%,6.10%,1,15,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Smash,KR,9,55.60%,4.2,5.2,2.6,5.6,9.5,448,73.90%,26.10%,24.40%,14.20%,713,1.23,0.42,0.35,0.16,461,9,87,55.60%,0%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Soboro,KR,10,30%,2.1,3,3.6,4.7,7.7,378,53.30%,23.70%,21.30%,10.60%,580,0.83,0.39,0.11,0.14,-104,-4,-274,50%,0%,0,3,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Sponge,KR,42,33.30%,2.2,2.8,3.9,5.8,6.4,348,71.60%,17.80%,19.70%,19.40%,432,1.6,0.34,0.42,0.29,-126,-1,-170,33.30%,19%,0,7,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Teddy,KR,18,22.20%,2.5,2.7,2.6,3.7,9.2,393,60.70%,23%,23.10%,13.20%,558,1.07,0.47,0.24,0.13,-103,-4,-205,33.30%,5.60%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Ucal,KR,37,32.40%,2.5,2.9,3.1,4.8,9,398,63.10%,24.10%,22.60%,13.10%,599,1.09,0.46,0.21,0.16,-72,1,-59,18.90%,10.80%,0,1,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Vicla,KR,38,36.80%,2.5,2.6,3.4,5.9,8.5,388,63.80%,24.60%,21.50%,13%,652,1.09,0.45,0.23,0.25,-294,-6,-142,21.10%,18.40%,0,10,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Viper,KR,42,73.80%,5.9,4.9,1.9,6.4,9.5,446,65.70%,25.70%,23.20%,14.90%,720,1.32,0.46,0.39,0.12,74,1,93,19%,9.50%,0,3,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Vital,KR,4,25%,3.3,2.3,1.8,3.5,9.2,393,83.90%,33.50%,22.60%,10.60%,743,0.9,0.41,0.25,0.15,-256,-2,-302,25%,25%,0,-,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Zeka,KR,42,73.80%,4.7,4.2,2.2,6.3,9,423,62%,25.80%,22%,14%,715,1.24,0.43,0.29,0.2,251,4,97,26.20%,9.50%,1,14,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Zeus,KR,42,73.80%,3.3,4.2,3.1,6.1,8.4,422,61%,25.70%,22%,12.10%,716,1.07,0.4,0.18,0.15,480,10,303,16.70%,16.70%,0,22,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
deokdam,KR,39,56.40%,5.3,4.3,2,6.5,8.9,420,73.30%,25.60%,22.90%,12.80%,632,1.16,0.44,0.3,0.13,-181,-6,-97,38.50%,0%,0,3,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
kingen,KR,45,53.30%,2.8,3.1,2.8,4.8,8.2,407,56.80%,26%,22%,12.50%,676,1.05,0.37,0.2,0.19,204,5,214,8.90%,6.70%,0,16,2025,Rounds 1-2,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%201-2/
Aiming,KR,28,67.90%,7.3,5.5,1.8,7.3,10.1,471,76.70%,29.40%,24.80%,13.60%,844,1.2,0.42,0.35,0.11,275,8,111,7.10%,0%,0,4,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Andil,KR,34,44.10%,2.9,0.6,4,10.9,0.9,240,78.10%,7.60%,13.20%,40.50%,205,3.38,1.74,0.37,0.45,-6,0,40,58.80%,17.60%,0,-,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Bdd,KR,26,34.60%,4.1,3.6,2.6,7,8.5,405,70.90%,25.20%,22.60%,12.90%,656,1.07,0.43,0.2,0.22,140,3,-32,23.10%,11.50%,0,6,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Berserker,KR,30,30%,4.1,3.8,2.4,5.9,9.6,441,73.40%,27.90%,24.60%,12.80%,728,1.07,0.39,0.31,0.12,-72,0,-88,40%,6.70%,0,2,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
BeryL,KR,28,67.90%,3.5,1,3.4,11.1,1.1,253,74.40%,9.40%,13.30%,40%,270,3.52,1.69,0.47,0.47,115,1,332,10.70%,17.90%,0,-,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Bulldog,KR,30,30%,3,2.5,3.1,6.7,8.4,391,70.70%,26.60%,21.90%,14.70%,700,1.22,0.46,0.27,0.24,24,1,78,16.70%,13.30%,0,3,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Calix,KR,26,7.70%,1.9,2.5,3.2,3.6,8.7,395,60.50%,23.30%,22.70%,13.70%,568,1.09,0.45,0.2,0.24,-100,1,156,23.10%,7.70%,0,8,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Canyon,KR,29,79.30%,5.9,3.4,2,8.7,6.9,391,67.90%,14.50%,19.50%,17.70%,425,1.6,0.42,0.32,0.35,239,2,231,48.30%,3.40%,0,4,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Chovy,KR,29,79.30%,6.8,3.9,1.8,8.4,9.6,460,69.20%,27.30%,23%,14.50%,780,1.32,0.46,0.36,0.13,400,12,406,24.10%,3.40%,0,9,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Clear,KR,29,62.10%,3.4,2.8,3,7.3,7.4,379,55.40%,21.30%,20%,11.20%,621,0.94,0.31,0.2,0.14,14,-3,7,13.80%,0%,0,7,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Clozer,KR,31,48.40%,4.2,2.9,2.3,6.7,8.9,402,67.10%,23%,22%,12.50%,591,1.04,0.41,0.23,0.16,-197,-2,-207,12.90%,9.70%,0,3,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Croco,KR,31,48.40%,3.6,2.7,2.9,7.8,6.8,363,77.50%,17.30%,20%,16.60%,463,1.39,0.24,0.37,0.18,-100,1,3,25.80%,9.70%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Cuzz,KR,26,34.60%,3.3,3.2,3.3,7.7,6.3,363,73.50%,16.50%,20.10%,20.10%,441,1.67,0.3,0.43,0.27,-178,-2,-207,38.50%,3.80%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Delight,KR,28,53.60%,3.4,0.8,3.8,12.3,1.2,256,80.40%,7.70%,13.60%,42%,208,3.72,1.91,0.46,0.55,42,4,-19,25%,10.70%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Diable,KR,29,62.10%,4.9,6.4,2.7,7,9.9,485,76.30%,28.10%,25.50%,13.70%,832,1.16,0.45,0.31,0.14,157,4,304,24.10%,17.20%,0,2,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Doran,KR,29,69%,3.3,3.9,3,6.1,8,411,57.40%,23.90%,21.30%,12.60%,687,1.07,0.43,0.18,0.22,334,5,81,20.70%,6.90%,0,15,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
DuDu,KR,30,30%,2.2,2.4,3.2,4.7,7.6,360,52.10%,23.40%,20.20%,10.30%,615,0.86,0.31,0.14,0.16,240,12,345,10%,6.70%,0,4,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Duro,KR,29,79.30%,5.3,1.1,2.5,12.1,0.9,264,73%,8.10%,13.20%,42%,235,3.79,1.87,0.44,0.48,163,-6,3,44.80%,6.90%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Faker,KR,29,69%,4.6,3.3,2.4,7.8,8.4,411,63.40%,22.70%,21.20%,11.70%,666,1,0.42,0.2,0.16,-166,-8,-275,17.20%,6.90%,0,2,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
GIDEON,KR,26,7.70%,1.6,2.7,4.5,4.5,6.2,355,75.50%,14.70%,20.40%,20.10%,357,1.58,0.39,0.37,0.31,-52,-2,-92,23.10%,3.80%,0,4,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Gumayusi,KR,29,69%,5.3,5.6,2.3,6.6,9.7,463,67.80%,27.10%,23.90%,12.90%,792,1.09,0.46,0.28,0.16,-75,6,42,24.10%,17.20%,0,4,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Hype,KR,31,48.40%,4.1,4.8,2.5,5.4,9.2,431,68.30%,27.40%,23.70%,13.40%,732,1.12,0.4,0.32,0.1,-272,-10,-157,16.10%,12.90%,0,7,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Jiwoo,KR,22,9.10%,1.6,2.3,4.1,4.3,8.7,400,61.60%,27.20%,22.80%,11.40%,668,0.91,0.39,0.24,0.1,-414,-6,-58,13.60%,9.10%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Kellin,KR,29,62.10%,3.6,0.8,4,13.3,0.9,252,79.90%,7.80%,13.20%,43.90%,228,3.69,2.12,0.4,0.64,-30,-3,-264,31%,6.90%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Keria,KR,29,69%,5,0.8,2.7,12.7,1.1,260,76%,9.80%,13.50%,44.50%,280,3.76,2.13,0.39,0.62,-28,0,117,41.40%,6.90%,0,2,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Kiin,KR,29,79.30%,3.8,3.2,2.6,6.7,7.9,398,58.70%,21.70%,20%,11.90%,625,1.08,0.38,0.23,0.12,-62,0,-55,13.80%,13.80%,0,5,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Kyeahoo,KR,34,44.10%,3.6,3.2,2.8,6.9,8.4,402,68.50%,25.80%,22.20%,12.90%,698,1.08,0.4,0.21,0.2,27,1,81,35.30%,2.90%,0,7,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Lehends,KR,26,7.70%,1.2,0.7,5.1,5.1,1,236,58.10%,9.70%,13.60%,43.30%,236,3.39,1.97,0.34,0.59,-204,2,-58,30.80%,15.40%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Life,KR,22,31.80%,2.9,0.9,3.8,9.9,0.9,244,79.50%,7.30%,13.60%,43.10%,183,3.61,1.92,0.43,0.49,81,2,47,31.80%,18.20%,0,-,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Lucid,KR,28,67.90%,4.2,3.7,3.1,9.4,6.5,373,75.70%,15.60%,19.60%,20.40%,460,1.81,0.39,0.43,0.36,108,10,398,28.60%,7.10%,0,-,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Morgan,KR,31,48.40%,3.2,2.7,2.6,5.5,8.1,383,58.80%,24%,21%,13.10%,618,1.1,0.35,0.25,0.22,117,4,105,6.50%,16.10%,0,5,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Oner,KR,29,69%,4.8,3.7,2.7,9,6.8,388,71.10%,16.60%,20.10%,18.40%,484,1.56,0.29,0.38,0.22,81,4,107,44.80%,3.40%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Peanut,KR,28,53.60%,3.7,2.8,3.3,9.3,6.2,358,72.10%,13.40%,18.90%,19.30%,378,1.72,0.31,0.46,0.26,-117,-2,-72,28.60%,10.70%,0,2,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
PerfecT,KR,26,34.60%,2.4,2.6,3.3,5.1,7.2,352,50.50%,20%,19.60%,11.90%,520,0.99,0.45,0.13,0.23,-418,-9,-354,11.50%,15.40%,0,4,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Peter,KR,20,45%,3.2,0.4,4,12.3,1,247,75.20%,7%,13.30%,42.70%,190,3.69,1.88,0.46,0.54,26,0,-13,20%,10%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Pollu,KR,31,48.40%,3.1,0.7,3.5,10,1,243,73.80%,8.30%,13.40%,44.40%,214,3.69,2.04,0.42,0.58,-94,-1,-126,29%,12.90%,0,-,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Pyosik,KR,30,30%,3.6,3.3,2.9,7.1,6.2,355,81.50%,14.40%,19.80%,19.50%,376,1.61,0.37,0.37,0.33,41,-3,-140,50%,3.30%,0,1,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Quantum,KR,8,25%,2.3,0.6,4,8.8,1,233,78.20%,8.90%,13.20%,41.90%,247,3.37,1.76,0.4,0.44,-125,4,-17,37.50%,0%,0,-,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Raptor,KR,29,62.10%,4.1,3.8,3.4,10,6,378,78.60%,16.90%,19.90%,19.10%,489,1.61,0.31,0.43,0.25,56,-5,-136,34.50%,3.40%,0,2,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
Rich,KR,34,44.10%,3.2,2.8,2.8,6.2,7.4,368,63.90%,23.20%,20.20%,12.60%,620,1.06,0.42,0.19,0.14,-211,-9,-243,17.60%,8.80%,0,8,2025,Rounds 3-5,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%202025%20Rounds%203-5/
